country,cell_id,radio,lon,lat,year,net,mcc,population
Spain,90,GSM,-3.124,43.324,2020,1,214,706.0453412
Spain,91,GSM,-3.124,43.337,2020,7,214,99.4348345
Spain,92,GSM,-3.124,43.341,2020,7,214,128.47794528
Spain,93,GSM,-3.124,43.346,2020,4,214,100.23511865
Spain,94,GSM,-3.123,43.305,2020,3,214,31.33647467
Spain,95,GSM,-3.123,43.341,2020,1,214,131.47428314
Spain,96,GSM,-3.123,43.391,2020,7,214,0.0
Spain,97,GSM,-3.121,43.338,2020,1,214,131.43153447
Spain,98,GSM,-3.12,43.32,2020,3,214,783.8978648
Spain,99,GSM,-3.12,43.339,2020,3,214,141.83934425
Spain,100,GSM,-3.12,43.342,2020,1,214,138.43746521
Spain,101,GSM,-3.12,43.343,2020,3,214,129.96408937
Spain,102,GSM,-3.119,43.337,2020,3,214,150.03089338
Spain,103,GSM,-3.118,43.208,2020,3,214,1094.5442089
Spain,104,GSM,-3.118,43.209,2020,1,214,1124.9891214
Spain,105,GSM,-3.117,43.325,2020,1,214,1442.198591
Spain,106,GSM,-3.117,43.34,2020,7,214,190.3562823
Spain,107,GSM,-3.117,43.39,2020,1,214,0.0
Spain,108,GSM,-3.116,43.212,2020,4,214,988.3564257099999
Spain,109,GSM,-3.116,43.343,2020,1,214,198.6289379
Spain,110,GSM,-3.114,43.321,2020,3,214,1211.3930565
Spain,111,GSM,-3.114,43.337,2020,7,214,330.2243029
Spain,112,GSM,-3.113,43.322,2020,3,214,1376.3626417
Spain,113,GSM,-3.112,43.208,2020,1,214,1270.4015037
Spain,114,GSM,-3.112,43.314,2020,7,214,131.23225375
Spain,115,GSM,-3.112,43.322,2020,3,214,1339.4862466
Spain,116,GSM,-3.112,43.323,2020,1,214,1494.0716396999999
Spain,117,GSM,-3.112,43.335,2020,1,214,554.1451371
Spain,118,GSM,-3.111,43.208,2020,7,214,1202.4516894
Spain,119,GSM,-3.11,43.203,2020,3,214,286.59821459
Spain,120,GSM,-3.11,43.243,2020,1,214,8.406731002
Spain,121,GSM,-3.11,43.323,2020,3,214,1368.0052707
Spain,122,GSM,-3.11,43.324,2020,1,214,1496.6985821
Spain,123,GSM,-3.109,43.331,2020,1,214,1152.1162367
Spain,124,GSM,-3.109,43.336,2020,3,214,501.8879137
Spain,125,GSM,-3.109,43.337,2020,1,214,414.3833871
Spain,126,GSM,-3.109,43.338,2020,1,214,372.93690782
Spain,127,GSM,-3.108,43.207,2020,3,214,846.5570574
Spain,128,GSM,-3.108,43.326,2020,1,214,1586.2590955
Spain,129,GSM,-3.108,43.331,2020,3,214,1104.2275136
Spain,130,GSM,-3.107,43.324,2020,3,214,1397.1117079
Spain,131,GSM,-3.107,43.337,2020,4,214,364.77998581
Spain,132,GSM,-3.107,43.337,2020,7,214,364.77998581
Spain,133,GSM,-3.106,43.205,2020,4,214,395.14359812
Spain,134,GSM,-3.106,43.331,2020,7,214,948.0397827
Spain,135,GSM,-3.105,43.323,2020,3,214,1119.9951345
Spain,136,GSM,-3.105,43.333,2020,1,214,598.57327219
Spain,137,GSM,-3.105,43.336,2020,7,214,323.87179282
Spain,138,GSM,-3.104,43.201,2020,1,214,67.07647616
Spain,139,GSM,-3.104,43.209,2020,4,214,592.0338104
Spain,140,GSM,-3.104,43.326,2020,3,214,1184.0030882
Spain,141,GSM,-3.103,43.25,2020,3,214,24.925606793
